,id,name,year,rating,genre,director,actor,other actor,area
15410,1308054,死亡之屋,2003,3.8,动作/恐怖/,乌维·鲍尔,Dave Parker/Mark A. Altman,JonathanCherry/泰伦·莱斯托/克林特·霍华德/OnaGrauer/艾莉·康纳尔,德国/美国/加拿大
15411,2343238,猛犸复活,2006,3.8,喜剧/动作/恐怖/,Tim Cox,Tim Cox/Brook Durham,文森特·温特莱斯卡/ConstantinDraganescu/莎莫·格劳/汤姆·斯凯里特/科尔·威廉姆斯,美国/罗马尼亚
15412,4099460,曼陀罗,2010,3.8,恐怖/奇幻/冒险/,Tripp Reed,Betsy Russell/Max Martini/Benito Martinez/Wayne Pére/Sam Medina,BetsyRussell/MaxMartini/BenitoMartinez/WaynePére/SamMedina,美国
15413,26892964,颤栗汪洋3,2017,3.8,恐怖/,Gerald Rascionato,Gerald Rascionato,SuzanneDervish-Ali/MeganPetaHill/JoelHogan/PeteValley/TaraWraith,澳大利亚
15414,27072842,去地狱的派对巴士,2017,3.7,恐怖/,罗尔夫·坎尼斯基,罗尔夫·坎尼斯基,塔拉·雷德/德瓦尼·平/莎蒂·卡茨/RichardHochman,美国
15415,25858774,陷阱,2017,3.6,恐怖/,C.A. Cooper,C.A. Cooper,EaoifaForward/DanPaton/RachelWarren/RenateMorley/RomanKemp,英国
15416,1479958,鬼名模,2000,3.5,喜剧/恐怖/,招振强,范有文,任达华/李美琪/蒋志光/海俊杰/刘淑仪,香港
15417,6876044,活死人之夜3D：复活,2012,3.5,恐怖/,杰夫·布罗德史崔特,杰夫·布罗德史崔特/Robert Valding,安德鲁·迪沃夫/杰弗瑞·考姆斯/莎拉·莱明/罗宾·西德尼,美国
15418,26981166,逃出食人农场,2017,3.4,恐怖/,Charlie Steeds,Charlie Steeds,KateMarieDavies/BarringtonDeLaRoche/DavidLenik/RowenaBentley/TobyWynn-Davies,英国
15419,26435989,女孩们的周末,2015,3.3,惊悚/恐怖/冒险/,Lou Simon,Lou Simon,杰米·伯纳黛特/凯蒂·卡彭特/GemaCalero/MicheleGourdine,美国
